Description,Gene,LB_copies_per_cell,LB_coef_of_var
4-hydroxy-3-methylbut-2-enyl diphosphate reductase OS=Escherichia coli (strain K12) GN=ispH PE=1 SV=1,ispH,430,6.27
Uncharacterized protein ytfM OS=Escherichia coli (strain K12) GN=ytfM PE=1 SV=1,tamA,60,6.85
Homocysteine S-methyltransferase OS=Escherichia coli (strain K12) GN=mmuM PE=1 SV=2,mmuM,45,7.16
Uncharacterized oxidoreductase ydgJ OS=Escherichia coli (strain K12) GN=ydgJ PE=1 SV=2,ydgJ,43,36.25
Putative mannosyl-3-phosphoglycerate phosphatase OS=Escherichia coli (strain K12) GN=yedP PE=1 SV=1,yedP,42,5.11
Uncharacterized protein ybcJ OS=Escherichia coli (strain K12) GN=ybcJ PE=1 SV=1,ybcJ,307,3.12
DnaA initiator-associating protein diaA OS=Escherichia coli (strain K12) GN=diaA PE=1 SV=1,diaA,285,8.95
Septum site-determining protein minC OS=Escherichia coli (strain K12) GN=minC PE=1 SV=1,minC,163,12.53
Protein yecM OS=Escherichia coli (strain K12) GN=yecM PE=1 SV=3,yecM,352,1.36
Uncharacterized protein yigI OS=Escherichia coli (strain K12) GN=yigI PE=4 SV=1,yigI,231,8.53
Trk system potassium uptake protein trkA OS=Escherichia coli (strain K12) GN=trkA PE=1 SV=1,trkA,137,3.84
Peptide chain release factor 1 OS=Escherichia coli (strain K12) GN=prfA PE=1 SV=1,prfA,374,4.96
Serine transporter OS=Escherichia coli (strain K12) GN=sdaC PE=1 SV=1,sdaC,2738,9.75
Phosphoserine phosphatase OS=Escherichia coli (strain K12) GN=serB PE=1 SV=1,serB,225,3.81
Sensor protein CpxA OS=Escherichia coli (strain K12) GN=cpxA PE=1 SV=1,cpxA,50,0.45
Ribonuclease I OS=Escherichia coli (strain K12) GN=rna PE=1 SV=1,rna,98,6.09
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase OS=Escherichia coli (strain K12) GN=lpxC PE=3 SV=1,lpxC,133,6.83
Uncharacterized protein ymjA OS=Escherichia coli (strain K12) GN=ymjA PE=4 SV=1,ymjA,175,25.53
Esterase YdiI OS=Escherichia coli (strain K12) GN=ydiI PE=1 SV=1,ydiI,230,6.75
Sodium/proline symporter OS=Escherichia coli (strain K12) GN=putP PE=1 SV=1,putP,364,13.59
UPF0250 protein ybeD OS=Escherichia coli (strain K12) GN=ybeD PE=1 SV=1,ybeD,9771,4.48
Uncharacterized protein ytfB OS=Escherichia coli (strain K12) GN=ytfB PE=4 SV=2,ytfB,222,10.49
Putative glutamine amidotransferase yafJ OS=Escherichia coli (strain K12) GN=yafJ PE=4 SV=1,yafJ,48,7.77
Beta-hexosaminidase 2 OS=Escherichia coli (strain K12) GN=nagZ2 PE=3 SV=1,nagZ,197,10.97
Shikimate kinase 2 OS=Escherichia coli (strain K12) GN=aroL PE=1 SV=3,aroL,356,10.63
Diguanylate cyclase DosC OS=Escherichia coli (strain K12) GN=dosC PE=1 SV=1,dosC,13,11.38
ADP-ribose pyrophosphatase OS=Escherichia coli (strain K12) GN=nudF PE=1 SV=2,nudF,179,4.78
2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase OS=Escherichia coli (strain K12) GN=ispD PE=1 SV=3,ispD,140,14.45
Protein YgaD OS=Escherichia coli (strain K12) GN=ygaD PE=1 SV=1,pncC,152,3.95
Uncharacterized protein yhbW OS=Escherichia coli (strain K12) GN=yhbW PE=4 SV=1,yhbW,135,3.91
Iron-binding protein iscA OS=Escherichia coli (strain K12) GN=iscA PE=1 SV=1,iscA,1953,1.25
Lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase OS=Escherichia coli (strain K12) GN=msbB PE=1 SV=1,msbB,137,11.45
Glutamate racemase OS=Escherichia coli (strain K12) GN=murI PE=1 SV=2,murI,186,8.78
Ribosomal large subunit pseudouridine synthase B OS=Escherichia coli (strain K12) GN=rluB PE=1 SV=2,rluB,294,12.53
Pyruvate dehydrogenase complex repressor OS=Escherichia coli (strain K12) GN=pdhR PE=1 SV=1,pdhR,106,14.23
Protein AroM OS=Escherichia coli (strain K12) GN=aroM PE=4 SV=1,aroM,124,16.21
Multifunctional CCA protein OS=Escherichia coli (strain K12) GN=cca PE=1 SV=1,cca,88,4.49
DNA helicase II OS=Escherichia coli (strain K12) GN=uvrD PE=1 SV=1,uvrD,119,5.33
Uncharacterized protein yfcL OS=Escherichia coli (strain K12) GN=yfcL PE=4 SV=1,yfcL,892,10.10
Ethanolamine ammonia-lyase heavy chain OS=Escherichia coli (strain K12) GN=eutB PE=1 SV=1,eutB,63,12.21
Cytosine permease OS=Escherichia coli (strain K12) GN=codB PE=1 SV=1,codB,31,14.16
Cold shock-like protein CspD OS=Escherichia coli (strain K12) GN=cspD PE=1 SV=1,cspD,10716,5.87
Zinc uptake regulation protein OS=Escherichia coli (strain K12) GN=zur PE=1 SV=1,zur ,130,13.80
Uncharacterized HTH-type transcriptional regulator yeiE OS=Escherichia coli (strain K12) GN=yeiE PE=4 SV=1,yeiE,161,4.28
DNA repair protein radA OS=Escherichia coli (strain K12) GN=radA PE=3 SV=1,radA,48,10.48
Phenylacetaldehyde dehydrogenase OS=Escherichia coli (strain K12) GN=feaB PE=1 SV=2,feaB,9,27.14
Copper homeostasis protein CutC OS=Escherichia coli (strain K12) GN=cutC PE=3 SV=1,cutC,92,8.69
Protein mlc OS=Escherichia coli (strain K12) GN=mlc PE=1 SV=2,mlc,55,8.03
Glc operon transcriptional activator OS=Escherichia coli (strain K12) GN=glcC PE=4 SV=1,glcC,94,87.63
Positive transcription regulator evgA OS=Escherichia coli (strain K12) GN=evgA PE=1 SV=1,evgA,116,18.99
Ornithine carbamoyltransferase chain F OS=Escherichia coli (strain K12) GN=argF PE=1 SV=4,argF,11,26.36
sn-glycerol-3-phosphate import ATP-binding protein UgpC OS=Escherichia coli (strain K12) GN=ugpC PE=1 SV=3,ugpC,31,15.92
Cardiolipin synthase OS=Escherichia coli (strain K12) GN=cls PE=1 SV=1,clsA,14,2.08
Oxygen-insensitive NADPH nitroreductase OS=Escherichia coli (strain K12) GN=nfsA PE=1 SV=2,nfsA,677,5.82
"Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase OS=Escherichia coli (strain K12) GN=gppA PE=1 SV=3",gppA,42,6.66
Chorismate--pyruvate lyase OS=Escherichia coli (strain K12) GN=ubiC PE=1 SV=2,ubiC,293,19.59
Protein YdeJ OS=Escherichia coli (strain K12) GN=ydeJ PE=3 SV=1,ydeJ,9,38.08
M22 peptidase homolog yeaZ OS=Escherichia coli (strain K12) GN=yeaZ PE=1 SV=1,tsaB,219,5.41
Uncharacterized protein ytfJ OS=Escherichia coli (strain K12) GN=ytfJ PE=1 SV=1,ytfJ,400,42.40
Peptidase E OS=Escherichia coli (strain K12) GN=pepE PE=1 SV=1,pepE,744,29.36
Rod shape-determining protein mreC OS=Escherichia coli (strain K12) GN=mreC PE=3 SV=1,mreC,88,5.95
Ribonucleoside-diphosphate reductase 2 subunit beta OS=Escherichia coli (strain K12) GN=nrdF PE=1 SV=2,nrdF,46,9.16
Response regulator uvrY OS=Escherichia coli (strain K12) GN=uvrY PE=1 SV=1,uvrY,184,10.67
Glutamine transport system permease protein glnP OS=Escherichia coli (strain K12) GN=glnP PE=1 SV=1,glnP,43,17.47
Putrescine transport ATP-binding protein PotG OS=Escherichia coli (strain K12) GN=potG PE=3 SV=2,potG,1,5.42
DNA mismatch repair protein mutL OS=Escherichia coli (strain K12) GN=mutL PE=1 SV=2,mutL,11,29.35
Uncharacterized HTH-type transcriptional regulator yihW OS=Escherichia coli (strain K12) GN=yihW PE=4 SV=2,yihW,135,7.11
Isochorismatase family protein yecD OS=Escherichia coli (strain K12) GN=yecD PE=1 SV=2,yecD,60,8.54
Putrescine aminotransferase OS=Escherichia coli (strain K12) GN=patA PE=1 SV=2,patA,32,37.90
Putative N-acetylmannosamine-6-phosphate 2-epimerase OS=Escherichia coli (strain K12) GN=nanE PE=1 SV=1,nanE,873,11.00
Phenylacetic acid degradation operon negative regulatory protein paaX OS=Escherichia coli (strain K12) GN=paaX PE=1 SV=1,paaX,32,26.77
Uncharacterized protein yehS OS=Escherichia coli (strain K12) GN=yehS PE=4 SV=1,yehS,82,12.84
Respiratory nitrate reductase 1 alpha chain OS=Escherichia coli (strain K12) GN=narG PE=1 SV=4,narG,15,66.52
Putative aga operon transcriptional repressor OS=Escherichia coli (strain K12) GN=agaR PE=4 SV=1,agaR,53,7.56
Anaerobic glycerol-3-phosphate dehydrogenase subunit B OS=Escherichia coli (strain K12) GN=glpB PE=1 SV=1,glpB,380,46.25
Glucitol/sorbitol-specific phosphotransferase enzyme IIA component OS=Escherichia coli (strain K12) GN=srlB PE=4 SV=1,srlB,522,21.27
L-fucose isomerase OS=Escherichia coli (strain K12) GN=fucI PE=1 SV=1,fucI,106,40.35
Antitoxin DinJ OS=Escherichia coli (strain K12) GN=dinJ PE=1 SV=1,dinJ,344,7.93
Small heat shock protein ibpB OS=Escherichia coli (strain K12) GN=ibpB PE=1 SV=1,ibpB,546,11.93
Protein visC OS=Escherichia coli (strain K12) GN=visC PE=3 SV=2,ubiI,41,12.08
Alpha-galactosidase OS=Escherichia coli (strain K12) GN=melA PE=1 SV=1,melA,14,70.76
Uncharacterized protein yciW OS=Escherichia coli (strain K12) GN=yciW PE=4 SV=2,yciW,8,2.58
Molybdopterin adenylyltransferase OS=Escherichia coli (strain K12) GN=mog PE=1 SV=1,mog,181,19.21
Bifunctional protein BirA OS=Escherichia coli (strain K12) GN=birA PE=1 SV=1,birA,37,8.32
Probable HTH-type transcriptional regulator lrhA OS=Escherichia coli (strain K12) GN=lrhA PE=4 SV=2,lrhA,44,6.56
tRNA guanosine-2'-O-methyltransferase OS=Escherichia coli (strain K12) GN=trmH PE=1 SV=1,trmH,70,5.36
Molybdenum import ATP-binding protein ModC OS=Escherichia coli (strain K12) GN=modC PE=1 SV=4,modC,12,23.33
ATP-dependent RNA helicase rhlE OS=Escherichia coli (strain K12) GN=rhlE PE=1 SV=3,rhlE,54,13.24
Xylose import ATP-binding protein XylG OS=Escherichia coli (strain K12) GN=xylG PE=1 SV=1,xylG,3,11.91
30S ribosomal protein S18 OS=Escherichia coli (strain K12) GN=rpsR PE=1 SV=2,rpsR,71308,5.04
Uncharacterized protein yggL OS=Escherichia coli (strain K12) GN=yggL PE=4 SV=2,yggL,4523,7.12
Uncharacterized protein yjeI OS=Escherichia coli (strain K12) GN=yjeI PE=4 SV=1,yjeI,1709,13.21
UPF0381 protein yfcZ OS=Escherichia coli (strain K12) GN=yfcZ PE=3 SV=1,yfcZ,3951,5.31
UPF0381 protein yiiS OS=Escherichia coli (strain K12) GN=yiiS PE=1 SV=1,yiiS,411,9.36
Uncharacterized lipoprotein yifL OS=Escherichia coli (strain K12) GN=yifL PE=4 SV=1,yifL,3722,2.73
Deoxyuridine 5'-triphosphate nucleotidohydrolase OS=Escherichia coli (strain K12) GN=dut PE=1 SV=1,dut,5755,3.03
Protein-export membrane protein SecG OS=Escherichia coli (strain K12) GN=secG PE=1 SV=1,secG,4283,2.88
ATP synthase subunit a OS=Escherichia coli (strain K12) GN=atpB PE=1 SV=1,atpB,1881,8.50
Anti-adapter protein iraP OS=Escherichia coli (strain K12) GN=iraP PE=1 SV=1,iraP,3262,17.23
Molybdopterin synthase sulfur carrier subunit OS=Escherichia coli (strain K12) GN=moaD PE=1 SV=2,moaD,1241,15.64
UPF0149 protein ygfB OS=Escherichia coli (strain K12) GN=ygfB PE=3 SV=1,ygfB,1302,14.62
Uncharacterized protein yebY OS=Escherichia coli (strain K12) GN=yebY PE=4 SV=1,yebY,1519,6.13
ATP-dependent protease subunit HslV OS=Escherichia coli (strain K12) GN=hslV PE=1 SV=2,hslV,1667,16.96
Protein gnsB OS=Escherichia coli (strain K12) GN=gnsB PE=3 SV=2,gnsB,1966,4.13
Uncharacterized protein yidB OS=Escherichia coli (strain K12) GN=yidB PE=4 SV=1,yidB,605,20.25
Carbon storage regulator OS=Escherichia coli (strain K12) GN=csrA PE=1 SV=1,csrA,2612,11.68
Uncharacterized protein yodD OS=Escherichia coli (strain K12) GN=yodD PE=4 SV=1,yodD,124,3.70
Uncharacterized protein yebV OS=Escherichia coli (strain K12) GN=yebV PE=4 SV=1,yebV,768,6.54
Protein icc OS=Escherichia coli (strain K12) GN=icc PE=4 SV=1,cpdA,201,12.47
UPF0482 protein ynfB OS=Escherichia coli (strain K12) GN=ynfB PE=1 SV=1,ynfB,581,12.84
Deoxycytidine triphosphate deaminase OS=Escherichia coli (strain K12) GN=dcd PE=1 SV=1,dcd,645,9.99
Uncharacterized protein YfgD OS=Escherichia coli (strain K12) GN=yfgD PE=1 SV=1,yfgD,2634,8.62
Uncharacterized protein yheO OS=Escherichia coli (strain K12) GN=yheO PE=4 SV=1,yheO,694,5.45
NADH-quinone oxidoreductase subunit A OS=Escherichia coli (strain K12) GN=nuoA PE=3 SV=1,nuoA,1949,3.95
Anaerobic C4-dicarboxylate transporter dcuA OS=Escherichia coli (strain K12) GN=dcuA PE=1 SV=1,dcuA,787,3.64
Ferrienterobactin-binding periplasmic protein OS=Escherichia coli (strain K12) GN=fepB PE=1 SV=1,fepB,34,12.29
Inner membrane protein ygaP OS=Escherichia coli (strain K12) GN=ygaP PE=1 SV=1,ygaP,1128,16.18
Ribosomal RNA large subunit methyltransferase E OS=Escherichia coli (strain K12) GN=rlmE PE=1 SV=1,rlmE,416,9.99
Cold shock protein CspA OS=Escherichia coli (strain K12) GN=cspA PE=1 SV=2,cspA,7444,6.56
3-deoxy-D-manno-octulosonate 8-phosphate phosphatase OS=Escherichia coli (strain K12) GN=kdsC PE=1 SV=1,kdsC,375,13.26
Phosphate starvation-inducible protein psiF OS=Escherichia coli (strain K12) GN=psiF PE=1 SV=1,psiF,37,10.59
UPF0434 protein ycaR OS=Escherichia coli (strain K12) GN=ycaR PE=1 SV=1,ycaR,1498,3.41
Acyl-CoA thioesterase I OS=Escherichia coli (strain K12) GN=tesA PE=1 SV=1,tesA,120,4.13
Uncharacterized protein yidQ OS=Escherichia coli (strain K12) GN=yidQ PE=4 SV=1,yidQ,492,11.50
Probable phospholipid ABC transporter-binding protein mlaB OS=Escherichia coli (strain K12) GN=mlaB PE=1 SV=1,mlaB,1126,4.02
Putative potassium channel protein OS=Escherichia coli (strain K12) GN=kch PE=1 SV=1,kch,77,9.75
CinA-like protein OS=Escherichia coli (strain K12) GN=yfaY PE=1 SV=1,yfaY,184,10.06
Trehalose-phosphate phosphatase OS=Escherichia coli (strain K12) GN=otsB PE=1 SV=2,otsB,154,4.29
Protein yciN OS=Escherichia coli (strain K12) GN=yciN PE=1 SV=1,yciN,2099,9.98
Uncharacterized protein yggT OS=Escherichia coli (strain K12) GN=yggT PE=3 SV=1,yggT,280,1.91
Protein sseB OS=Escherichia coli (strain K12) GN=sseB PE=4 SV=1,sseB,683,11.01
Shikimate dehydrogenase OS=Escherichia coli (strain K12) GN=aroE PE=1 SV=1,aroE,221,14.48
S-formylglutathione hydrolase yeiG OS=Escherichia coli (strain K12) GN=yeiG PE=1 SV=1,yeiG,90,21.79
Lipopolysaccharide export system permease protein lptF OS=Escherichia coli (strain K12) GN=lptF PE=1 SV=1,lptF,129,2.99
L-fucose mutarotase OS=Escherichia coli (strain K12) GN=fucU PE=1 SV=1,fucU,309,8.16
tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ OS=Escherichia coli (strain K12) GN=trmJ PE=1 SV=1,trmJ,423,4.19
Outer membrane lipoprotein blc OS=Escherichia coli (strain K12) GN=blc PE=1 SV=1,blc,194,27.61
"N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIB component OS=Escherichia coli (strain K12) GN=chbB PE=1 SV=1",chbB,1330,7.21
UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase OS=Escherichia coli (strain K12) GN=lpxD PE=1 SV=2,lpxD,157,7.02
Transcriptional repressor frmR OS=Escherichia coli (strain K12) GN=frmR PE=1 SV=1,frmR,554,4.05
Sec-independent protein translocase protein tatC OS=Escherichia coli (strain K12) GN=tatC PE=1 SV=2,tatC,456,10.54
D-serine/D-alanine/glycine transporter OS=Escherichia coli (strain K12) GN=cycA PE=1 SV=1,cycA,185,6.92
Inosine-guanosine kinase OS=Escherichia coli (strain K12) GN=gsk PE=1 SV=1,gsk,114,13.91
Glutamate/aspartate transport ATP-binding protein GltL OS=Escherichia coli (strain K12) GN=gltL PE=3 SV=1,gltL,65,1.76
Cytochrome d ubiquinol oxidase subunit 2 OS=Escherichia coli (strain K12) GN=cydB PE=1 SV=1,cydB,197,5.82
HTH-type protein slmA OS=Escherichia coli (strain K12) GN=slmA PE=1 SV=1,slmA,233,23.62
Dephospho-CoA kinase OS=Escherichia coli (strain K12) GN=coaE PE=1 SV=1,coaE,63,11.08
Trp operon repressor OS=Escherichia coli (strain K12) GN=trpR PE=1 SV=2,trpR,135,11.91
Aspartate 1-decarboxylase OS=Escherichia coli (strain K12) GN=panD PE=1 SV=1,panD,542,1.73
Murein tetrapeptide carboxypeptidase OS=Escherichia coli (strain K12) GN=ldcA PE=1 SV=1,ldcA,110,1.61
Inner membrane protein YbhL OS=Escherichia coli (strain K12) GN=ybhL PE=1 SV=1,ybhL,104,2.60
tRNA (mo5U34)-methyltransferase OS=Escherichia coli (strain K12) GN=cmoB PE=3 SV=1,cmoB,393,24.27
Ethanolamine utilization protein EutL OS=Escherichia coli (strain K12) GN=eutL PE=1 SV=1,eutL,126,19.84
Uncharacterized HTH-type transcriptional regulator yciT OS=Escherichia coli (strain K12) GN=yciT PE=4 SV=1,yciT,104,7.49
Lipopolysaccharide export system permease protein lptG OS=Escherichia coli (strain K12) GN=lptG PE=1 SV=1,lptG,158,22.62
Sugar phosphatase SupH OS=Escherichia coli (strain K12) GN=supH PE=1 SV=1,ybiV,95,13.93
Ribosomal RNA small subunit methyltransferase E OS=Escherichia coli (strain K12) GN=rsmE PE=1 SV=1,rsmE,142,11.38
tRNA (uracil-5-)-methyltransferase OS=Escherichia coli (strain K12) GN=trmA PE=1 SV=1,trmA,141,4.21
UPF0053 protein yegH OS=Escherichia coli (strain K12) GN=yegH PE=3 SV=2,yegH,26,16.75
Uncharacterized protein yfdI OS=Escherichia coli (strain K12) GN=yfdI PE=4 SV=1,yfdI,311,1.16
Maf-like protein yhdE OS=Escherichia coli (strain K12) GN=yhdE PE=1 SV=1,yhdE,200,7.06
Protein SufI OS=Escherichia coli (strain K12) GN=sufI PE=1 SV=2,ftsP,49,58.02
"Lysine decarboxylase, constitutive OS=Escherichia coli (strain K12) GN=ldcC PE=1 SV=2",ldcC,10,9.10
Protein MraZ OS=Escherichia coli (strain K12) GN=mraZ PE=3 SV=1,mraZ,85,7.92
"dTDP-4-dehydrorhamnose 3,5-epimerase OS=Escherichia coli (strain K12) GN=rfbC PE=1 SV=1",rfbC,635,2.46
Lipoate-protein ligase A OS=Escherichia coli (strain K12) GN=lplA PE=1 SV=3,lplA,149,13.83
Regulator of nucleoside diphosphate kinase OS=Escherichia coli (strain K12) GN=rnk PE=1 SV=1,rnk,1521,6.07
Probable adenine permease PurP OS=Escherichia coli (strain K12) GN=purP PE=1 SV=2,adeP,43,9.63
High-affinity branched-chain amino acid transport system permease protein livM OS=Escherichia coli (strain K12) GN=livM PE=3 SV=2,livM,13,11.47
Lipoprotein NlpE OS=Escherichia coli (strain K12) GN=nlpE PE=1 SV=1,nlpE,20,38.62
Antitoxin PrlF OS=Escherichia coli (strain K12) GN=sohA PE=1 SV=1,prlF,91,5.93
Siroheme synthase OS=Escherichia coli (strain K12) GN=cysG PE=1 SV=1,cysG,40,10.28
Autoinducer 2 kinase LsrK OS=Escherichia coli (strain K12) GN=lsrK PE=1 SV=1,lsrK,22,39.86
Aromatic amino acid transport protein AroP OS=Escherichia coli (strain K12) GN=aroP PE=1 SV=3,aroP,25,5.57
Protein hdeD OS=Escherichia coli (strain K12) GN=hdeD PE=1 SV=1,hdeD,1,38.90
Protein YffB OS=Escherichia coli (strain K12) GN=yffB PE=1 SV=1,yffB,143,57.89
Fe(3+) dicitrate transport protein fecA OS=Escherichia coli (strain K12) GN=fecA PE=1 SV=2,fecA,4,92.44
Glutathione import ATP-binding protein GsiA OS=Escherichia coli (strain K12) GN=gsiA PE=1 SV=3,gsiA,2,2.04
UDP-N-acetylmuramoylalanine--D-glutamate ligase OS=Escherichia coli (strain K12) GN=murD PE=1 SV=3,murD,115,10.20
Thiosulfate sulfurtransferase PspE OS=Escherichia coli (strain K12) GN=pspE PE=1 SV=1,pspE,1550,14.46
Uncharacterized protein yqjI OS=Escherichia coli (strain K12) GN=yqjI PE=4 SV=1,yqjI,140,4.18
UPF0441 protein ygiB OS=Escherichia coli (strain K12) GN=ygiB PE=3 SV=2,ygiB,210,13.08
Uncharacterized deoxyribonuclease yjjV OS=Escherichia coli (strain K12) GN=yjjV PE=1 SV=2,yjjV,21,13.91
Recombination protein recR OS=Escherichia coli (strain K12) GN=recR PE=3 SV=1,recR,257,50.93
Ribosomal-protein-serine acetyltransferase OS=Escherichia coli (strain K12) GN=rimL PE=1 SV=1,rimL,65,14.47
"2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinol hydroxylase OS=Escherichia coli (strain K12) GN=ubiF PE=1 SV=1",ubiF,46,5.98
Cell division protein ftsX OS=Escherichia coli (strain K12) GN=ftsX PE=1 SV=1,ftsX,59,11.80
Lipopolysaccharide biosynthesis protein rffA OS=Escherichia coli (strain K12) GN=rffA PE=3 SV=2,rffA,151,19.38
PKHD-type hydroxylase ybiX OS=Escherichia coli (strain K12) GN=ybiX PE=3 SV=2,ybiX,5,27.97
GTPase Era OS=Escherichia coli (strain K12) GN=era PE=1 SV=2,era,104,12.39
Phospholipase A1 OS=Escherichia coli (strain K12) GN=pldA PE=1 SV=1,pldA,37,11.98
Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase OS=Escherichia coli (strain K12) GN=cobT PE=3 SV=3,cobT,69,14.91
Trifunctional NAD biosynthesis/regulator protein NadR OS=Escherichia coli (strain K12) GN=nadR PE=1 SV=2,nadR,15,5.32
Preprotein translocase subunit SecE OS=Escherichia coli (strain K12) GN=secE PE=1 SV=1,secE,291,8.26
DNA polymerase III subunit alpha OS=Escherichia coli (strain K12) GN=dnaE PE=1 SV=1,dnaE,28,14.20
3-deoxy-D-manno-octulosonic-acid transferase OS=Escherichia coli (strain K12) GN=waaA PE=3 SV=1,waaA,54,34.14
Uncharacterized protein yffS OS=Escherichia coli (strain K12) GN=yffS PE=4 SV=2,yffS,98,4.80
3-octaprenyl-4-hydroxybenzoate carboxy-lyase OS=Escherichia coli (strain K12) GN=ubiX PE=3 SV=1,ubiX,64,30.96
Probable phospholipid import ATP-binding protein MlaF OS=Escherichia coli (strain K12) GN=mlaF PE=1 SV=1,mlaF,89,2.95
Uncharacterized ABC transporter permease ybbP OS=Escherichia coli (strain K12) GN=ybbP PE=3 SV=1,ybbP,19,27.92
1-acyl-sn-glycerol-3-phosphate acyltransferase OS=Escherichia coli (strain K12) GN=plsC PE=1 SV=1,plsC,140,19.46
DNA polymerase III subunit tau OS=Escherichia coli (strain K12) GN=dnaX PE=1 SV=1,dnaX,19,42.92
NADH-quinone oxidoreductase subunit H OS=Escherichia coli (strain K12) GN=nuoH PE=1 SV=1,nuoH,526,10.99
Putative Holliday junction resolvase OS=Escherichia coli (strain K12) GN=yqgF PE=1 SV=1,yqgF,136,16.54
Adenine deaminase OS=Escherichia coli (strain K12) GN=ade PE=1 SV=2,ade,54,18.65
Ribosomal RNA large subunit methyltransferase H OS=Escherichia coli (strain K12) GN=rlmH PE=1 SV=1,rlmH,129,28.63
Thiosulfate sulfurtransferase YnjE OS=Escherichia coli (strain K12) GN=ynjE PE=1 SV=2,ynjE,14,49.02
DNA primase OS=Escherichia coli (strain K12) GN=dnaG PE=1 SV=1,dnaG,14,16.03
Pyridoxamine kinase OS=Escherichia coli (strain K12) GN=pdxY PE=1 SV=3,pdxY,289,5.34
DNA-cytosine methyltransferase OS=Escherichia coli (strain K12) GN=dcm PE=1 SV=1,dcm,30,19.87
HTH-type transcriptional regulator hexR OS=Escherichia coli (strain K12) GN=hexR PE=3 SV=2,hexR,94,9.12
UPF0125 protein yfjF OS=Escherichia coli (strain K12) GN=yfjF PE=1 SV=1,ratB,136,7.66
Hydrogenase isoenzymes formation protein hypE OS=Escherichia coli (strain K12) GN=hypE PE=1 SV=2,hypE,18,3.29
